title,genres
Forrest Gump,Drama
Forrest Gump,Romance
The Fifth Element,Action
The Fifth Element,Adventure
The Fifth Element,Sci-Fi
Kill Bill: Vol. 1,Action
Kill Bill: Vol. 1,Crime
Kill Bill: Vol. 1,Thriller
Jarhead,Biography
Jarhead,Drama
Jarhead,War
Unforgiven,Drama
Unforgiven,Western
Eternal Sunshine of the Spotless Mind,Drama
Eternal Sunshine of the Spotless Mind,Romance
Eternal Sunshine of the Spotless Mind,Sci-Fi
Amores Perros,Drama
Amores Perros,Thriller
A History of Violence,Action
A History of Violence,Crime
A History of Violence,Drama
2001: A Space Odyssey,Adventure
2001: A Space Odyssey,Sci-Fi
Talk to Her,Drama
Talk to Her,Mystery
Talk to Her,Romance
8 Mile,Drama
8 Mile,Music
Paradise Now,Crime
Paradise Now,Drama
Paradise Now,Thriller
Million Dollar Baby,Drama
Million Dollar Baby,Sport
Billy Elliot,Drama
Billy Elliot,Music
American History X,Crime
American History X,Drama
War of the Worlds,Action
War of the Worlds,Adventure
War of the Worlds,Sci-Fi
Mars Attacks!,Comedy
Mars Attacks!,Sci-Fi
Before Sunrise,Drama
Before Sunrise,Romance
Memento,Mystery
Memento,Thriller
Hero,Action
Hero,Adventure
Hero,Drama
Before Sunset,Drama
Before Sunset,Romance
Nausicaä of the Valley of the Wind,Adventure
Nausicaä of the Valley of the Wind,Animation
Nausicaä of the Valley of the Wind,Sci-Fi
Raiders of the Lost Ark,Action
Raiders of the Lost Ark,Adventure
Indiana Jones and the Temple of Doom,Action
Indiana Jones and the Temple of Doom,Adventure
Dirty Dancing,Drama
Dirty Dancing,Music
Dirty Dancing,Romance
Indiana Jones and the Last Crusade,Action
Indiana Jones and the Last Crusade,Adventure
Beverly Hills Cop,Action
Beverly Hills Cop,Comedy
Beverly Hills Cop,Crime
Beverly Hills Cop II,Action
Beverly Hills Cop II,Comedy
Beverly Hills Cop II,Crime
Gladiator,Action
Gladiator,Adventure
Gladiator,Drama
All About My Mother,Comedy
All About My Mother,Drama
All About My Mother,Romance
"Lock, Stock and Two Smoking Barrels",Action
"Lock, Stock and Two Smoking Barrels",Comedy
"Lock, Stock and Two Smoking Barrels",Crime
Léon: The Professional,Action
Léon: The Professional,Crime
Léon: The Professional,Drama
Open Hearts,Drama
Open Hearts,Romance
Taxi Driver,Crime
Taxi Driver,Drama
Run Lola Run,Action
Run Lola Run,Crime
Run Lola Run,Thriller
Snatch,Comedy
Snatch,Crime
Scarface,Crime
Scarface,Drama
Italian for Beginners,Comedy
Italian for Beginners,Drama
Italian for Beginners,Romance
The Big Lebowski,Comedy
The Big Lebowski,Crime
Charlie and the Chocolate Factory,Adventure
Charlie and the Chocolate Factory,Comedy
Charlie and the Chocolate Factory,Family
The Lord of the Rings: The Fellowship of the Ring,Action
The Lord of the Rings: The Fellowship of the Ring,Adventure
The Lord of the Rings: The Fellowship of the Ring,Drama
The Lord of the Rings: The Two Towers,Action
The Lord of the Rings: The Two Towers,Adventure
The Lord of the Rings: The Two Towers,Drama
The Lord of the Rings: The Return of the King,Action
The Lord of the Rings: The Return of the King,Adventure
The Lord of the Rings: The Return of the King,Drama
Princess Mononoke,Action
Princess Mononoke,Adventure
Princess Mononoke,Animation
Spirited Away,Adventure
Spirited Away,Animation
Spirited Away,Family
"O Brother, Where Art Thou?",Comedy
"O Brother, Where Art Thou?",Crime
"O Brother, Where Art Thou?",Drama
Groundhog Day,Comedy
Groundhog Day,Drama
Groundhog Day,Fantasy
Bad Education,Crime
Bad Education,Drama
Brokeback Mountain,Drama
Brokeback Mountain,Romance
Akira,Action
Akira,Animation
Akira,Drama
Lost in Translation,Comedy
Lost in Translation,Drama
The Dark Knight,Action
The Dark Knight,Crime
The Dark Knight,Drama
Ocean's Eleven,Crime
Ocean's Eleven,Thriller
Ocean's Twelve,Crime
Ocean's Twelve,Thriller
Saw,Horror
Saw,Mystery
Saw,Thriller
Jackie Brown,Crime
Jackie Brown,Drama
Jackie Brown,Thriller
Sin City: A Dame to Kill For,Action
Sin City: A Dame to Kill For,Crime
Sin City: A Dame to Kill For,Thriller
The Name of the Rose,Drama
The Name of the Rose,Mystery
The Name of the Rose,Thriller
Amélie,Comedy
Amélie,Romance
The Wages of Fear,Adventure
The Wages of Fear,Drama
The Wages of Fear,Thriller
Saw III,Horror
Saw III,Mystery
Saw III,Thriller
Saw II,Horror
Saw II,Mystery
Indiana Jones and the Kingdom of the Crystal Skull,Action
Indiana Jones and the Kingdom of the Crystal Skull,Adventure
Volver,Comedy
Volver,Drama
Syriana,Drama
Syriana,Thriller
Stand by Me,Adventure
Stand by Me,Comedy
Stand by Me,Drama
The Godfather,Crime
The Godfather,Drama
The Godfather Part II,Crime
The Godfather Part II,Drama
Live Flesh,Drama
Batman Begins,Action
Batman Begins,Crime
Batman Begins,Drama
The Shawshank Redemption,Drama
Terminator 2: Judgment Day,Action
Terminator 2: Judgment Day,Adventure
Terminator 2: Judgment Day,Sci-Fi
A River Runs Through It,Drama
Terminator 3: Rise of the Machines,Action
Terminator 3: Rise of the Machines,Sci-Fi
Ocean's Thirteen,Crime
Ocean's Thirteen,Thriller
Swimming Pool,Crime
Swimming Pool,Drama
Swimming Pool,Mystery
Beverly Hills Cop III,Action
Beverly Hills Cop III,Comedy
Beverly Hills Cop III,Crime
Catwoman,Action
Catwoman,Crime
Catwoman,Fantasy
Mystic River,Crime
Mystic River,Drama
Mystic River,Mystery
Das Boot,Drama
Das Boot,War
A Fistful of Dollars,Action
A Fistful of Dollars,Drama
A Fistful of Dollars,Western
Chocolat,Drama
Chocolat,Romance
Kill Bill: Vol. 2,Action
Kill Bill: Vol. 2,Crime
Kill Bill: Vol. 2,Thriller
Driving Miss Daisy,Comedy
Driving Miss Daisy,Drama
Summer in Berlin,Drama
The Pianist,Biography
The Pianist,Drama
The Pianist,Music
The Day After Tomorrow,Action
The Day After Tomorrow,Adventure
The Day After Tomorrow,Sci-Fi
A Beautiful Mind,Biography
A Beautiful Mind,Drama
A Beautiful Mind,Mystery
Sissi,Comedy
Sissi,Drama
Sissi,History
Sissi: The Young Empress,Drama
Sissi: The Young Empress,History
Sissi: The Fateful Years of an Empress,Drama
Sissi: The Fateful Years of an Empress,History
Sissi: The Fateful Years of an Empress,Romance
Erin Brockovich,Biography
Erin Brockovich,Drama
As It Is in Heaven,Comedy
As It Is in Heaven,Drama
As It Is in Heaven,Music
My Own Private Idaho,Drama
The African Queen,Adventure
The African Queen,Drama
The African Queen,Romance
The Seventh Seal,Drama
The Seventh Seal,Fantasy
The Green Mile,Crime
The Green Mile,Drama
The Green Mile,Fantasy
Poseidon,Action
Poseidon,Adventure
Poseidon,Thriller
Monster,Biography
Monster,Crime
Monster,Drama
Marnie,Crime
Marnie,Drama
Marnie,Mystery
Love Actually,Comedy
Love Actually,Drama
Love Actually,Romance
Notting Hill,Comedy
Notting Hill,Drama
Notting Hill,Romance
One Flew Over the Cuckoo's Nest,Drama
Casino,Crime
Casino,Drama
Once Were Warriors,Crime
Once Were Warriors,Drama
Wallace & Gromit: The Curse of the Were-Rabbit,Adventure
Wallace & Gromit: The Curse of the Were-Rabbit,Animation
Wallace & Gromit: The Curse of the Were-Rabbit,Comedy
Terminator Salvation,Action
Terminator Salvation,Adventure
Terminator Salvation,Sci-Fi
Flashdance,Drama
Flashdance,Music
Flashdance,Romance
Psycho,Horror
Psycho,Mystery
Psycho,Thriller
Rashomon,Crime
Rashomon,Drama
Rashomon,Mystery
Fight Club,Drama
Spider-Man,Action
Spider-Man,Adventure
Spider-Man,Sci-Fi
Spider-Man 2,Action
Spider-Man 2,Adventure
Spider-Man 2,Sci-Fi
Spider-Man 3,Action
Spider-Man 3,Adventure
Spider-Man 3,Sci-Fi
Constantine,Action
Constantine,Fantasy
Constantine,Horror
The Mummy,Action
The Mummy,Adventure
The Mummy,Fantasy
The Birds,Drama
The Birds,Horror
The Birds,Mystery
Next Door,Mystery
Next Door,Thriller
Jaws,Adventure
Jaws,Drama
Jaws,Thriller
Jaws 2,Adventure
Jaws 2,Horror
Jaws 2,Thriller
The Lives of Others,Drama
The Lives of Others,Mystery
The Lives of Others,Thriller
Monty Python's Life of Brian,Comedy
2 Fast 2 Furious,Action
2 Fast 2 Furious,Crime
2 Fast 2 Furious,Thriller
Big Fish,Adventure
Big Fish,Drama
Big Fish,Fantasy
The Hours,Drama
The Hours,Romance
The Da Vinci Code,Mystery
The Da Vinci Code,Thriller
The Terminal,Comedy
The Terminal,Drama
The Terminal,Romance
Titanic,Drama
Titanic,Romance
City of God,Crime
City of God,Drama
Full Metal Jacket,Drama
Full Metal Jacket,War
E.T. the Extra-Terrestrial,Adventure
E.T. the Extra-Terrestrial,Family
E.T. the Extra-Terrestrial,Sci-Fi
The Matrix,Action
The Matrix,Sci-Fi
The Matrix Reloaded,Action
The Matrix Reloaded,Sci-Fi
The Matrix Revolutions,Action
The Matrix Revolutions,Sci-Fi
Men in Black,Action
Men in Black,Adventure
Men in Black,Comedy
